,Match Id,Home Team,Away Team,Home Goal HT,Away Goal HT,Home Goal FT,Away Goal FT,Label,Pos_home,P_home,GD_home,Form Score_home,Pos_away,P_away,GD_away,Form Score_away,H2H Home Points,H2H Away Points
249,416129,Liverpool,Man United,1,0,7,0,1,5,67,28,20.8266,3,75,15,32.3982,8,5
250,416132,Brentford,Fulham,1,1,3,2,1,9,59,12,31.0782,10,52,2,13.5268,7,4
251,416124,Bournemouth,Liverpool,1,0,1,0,1,15,39,-34,3.0,5,67,28,20.8266,12,3
252,416116,Tottenham,Nottingham,2,0,3,1,1,8,60,7,17.2195,16,38,-30,19.6514,6,6
253,416119,Leicester City,Chelsea,1,2,1,3,-1,18,34,-17,16.8854,12,44,-9,8.7398,3,3
254,416120,Leeds United,Brighton Hove,1,1,2,2,0,19,31,-30,2.0736,6,62,19,12.2068,4,1
255,416122,Everton,Brentford,1,0,1,0,1,17,36,-23,21.2054,9,59,12,31.0782,7,4
256,416123,Crystal Palace,Man City,0,0,0,1,-1,11,45,-9,16.5066,1,89,61,16.5268,4,7
257,416115,West Ham,Aston Villa,1,1,1,1,0,14,40,-13,13.278,7,61,5,22.1062,5,8
258,416118,Man United,Southampton,0,0,0,0,0,3,75,15,32.3982,20,25,-37,4.2998,1,7
259,416121,Fulham,Arsenal,0,3,0,3,-1,10,52,2,13.5268,2,84,45,20.2195,7,4
260,416117,Newcastle,Wolverhampton,1,0,2,1,1,4,71,35,14.9466,13,41,-27,7.306,8,5
261,416312,Brighton Hove,Crystal Palace,1,0,1,0,1,6,62,19,12.2068,11,45,-9,16.5066,8,2
